tenure,MonthlyCharges,Churn,TotalCharges_log
1,20.15,0,-2.306128087173426
72,19.3,0,0.31485498119933675
7,45.75,0,-0.5650757508889434
48,20.05,0,0.12072712128311613
13,70.15,0,0.02380537323541619
22,19.6,0,-0.43761842354607006
35,25.75,0,0.0208837773225901
8,54.4,0,-0.3646251110010759
23,19.8,0,-0.37739212135892014
27,104.65,0,0.7757188673838641
17,80.5,0,0.2795701661177023
6,19.7,0,-1.1713255846141974
72,74.4,0,1.1450755701378592
13,20.45,0,-0.7526812432695826
1,75.35,0,-1.5057767984496342
31,20.45,0,-0.18061375830519338
13,19.75,0,-0.772011600382127
61,25.0,0,0.3520155290057017
64,103.5,0,1.269846732285875
14,19.65,0,-0.8191851455178133
12,19.35,0,-0.8652332253327318
72,65.55,0,1.0771690739802224
56,75.75,0,1.0054051650943168
72,63.1,0,1.0611593546252247
57,19.4,0,0.1359317578625104
67,86.15,0,1.203115658117104
72,116.85,0,1.4307947833327495
42,94.45,0,0.9505660128205727
59,99.5,0,1.2007698377341527
71,84.8,0,1.2200727420792827
35,59.6,0,0.5594381089004894
72,109.75,0,1.3893566681560512
24,99.65,0,0.6454283275712308
9,79.55,0,-0.10712988675701328
63,84.65,0,1.1470550420654886
10,60.2,0,-0.25843903668787654
44,19.55,0,-0.02493292463747346
72,110.3,0,1.3920542515396626
56,24.3,0,0.24350262855734003
72,97.85,0,1.2971004011371166
20,20.0,0,-0.44479980849631473
70,49.85,0,0.8557682857487631
14,20.4,0,-0.6664452246418092
48,20.0,0,0.05743746228416576
27,19.4,0,-0.2968172747558124
27,48.7,0,0.31790807567920326
4,58.5,0,-0.8295880931181866
69,74.1,0,1.1055016173806835
1,19.55,0,-2.3240711380563868
12,35.5,0,-0.42342718265218077
20,49.6,0,0.06002740492198131
10,36.25,0,-0.5134504849928776
48,78.9,0,0.9258903234787449
33,54.6,0,0.4661728583261042
37,55.05,0,0.5400569435708764
50,75.15,0,0.9342544332588187
12,26.4,0,-0.6202784831147422
50,94.4,0,1.0909479767029158
8,75.0,0,-0.16184054681732934
15,24.8,0,-0.6023830182254512
62,71.4,0,1.0342109568900921
71,47.05,0,0.8357349901371246
9,68.95,0,-0.22578818699003697
49,99.25,0,1.0916958182845435
72,115.75,0,1.4282895798776851
71,19.45,0,0.2986383977196498
31,76.05,0,0.5977697030307341
56,64.65,0,0.9081294642934129
54,86.2,0,1.0392951804006954
37,65.6,0,0.6213745588371368
16,63.05,0,0.13912135957042063
72,97.95,0,1.3214886376203578
9,19.75,0,-0.8700749424677943
41,20.65,0,0.015924548962022302
63,50.65,0,0.8275940071039686
29,90.1,0,0.7075004340440605
35,62.15,0,0.5943053431186947
62,81.45,0,1.099531999045491
72,114.65,0,1.4201335474385501
16,20.6,0,-0.5907945806562559
18,85.6,0,0.3920853038419871
18,25.55,0,-0.3741923983763295
60,115.25,0,1.2895049387792168
72,87.1,0,1.2387609111249434
22,25.25,0,-0.25513437531031286
1,49.75,0,-1.760415441910193
52,24.8,0,0.22719442797146117
42,67.7,0,0.7582871072456276
11,76.4,0,-0.01085324613387928
54,18.95,0,0.1177741003106742
70,67.95,0,1.0583058729674717
1,20.2,0,-2.3046558834506436
34,116.15,0,0.9542248294476465
34,61.25,0,0.5284262589753297
56,99.9,0,1.1840152886211313
13,35.4,0,-0.3978403095824013
20,96.8,0,0.4740685665894332
1,25.7,0,-2.160842964788335
43,85.1,0,0.9075680635742085
19,89.35,0,0.42443796304755216
1,21.05,0,-2.2801460783125664
6,19.55,0,-1.19617057283845
53,65.0,0,0.8545835291226014
71,58.25,0,0.9848857779825451
1,45.25,0,-1.8183054689874412
64,110.3,0,1.3111556711407935
52,79.75,0,0.9956031527596015
3,94.9,0,-0.7086416527806396
3,19.3,0,-1.702389262797702
2,19.9,0,-1.672876469105022
49,25.25,0,0.21828653650172872
72,115.8,0,1.4269000156647007
67,54.2,0,0.9010151625241923
36,19.45,0,-0.0767329874403868
47,94.9,0,1.0517360977908485
21,80.9,0,0.43473241598570433
42,79.35,0,0.8509225053715836
13,70.45,0,-0.00317866578525723
71,19.8,0,0.3031418517819381
64,102.1,0,1.268875011273159
3,94.85,0,-0.5805274955686902
66,45.55,0,0.7888791549815297
63,40.6,0,0.6914006633785368
7,24.35,0,-1.0770950567324666
15,25.25,0,-0.47971451156551015
27,49.0,0,0.2579735408151639
35,81.6,0,0.7436279443419181
69,43.95,0,0.7748982384710948
69,24.45,0,0.4359121630488825
25,54.1,0,0.29617025087396515
31,54.35,0,0.40954114229407834
42,54.5,0,0.617958010565847
7,58.85,0,-0.3770580496652885
1,44.8,0,-1.8244014457219115
71,20.5,0,0.3516835275404556
8,20.15,0,-1.0196714136562812
13,81.9,0,0.11644369091042005
10,20.05,0,-0.8473689555770594
46,108.9,0,1.083214381967844
14,20.05,0,-0.6519524107022041
24,24.7,0,-0.24939303339114147
14,19.5,0,-0.7113762097384551
54,20.5,0,0.12054672547140052
1,74.3,0,-1.514410657306066
37,78.9,0,0.7784360542051355
71,114.6,0,1.4024023655515752
72,25.55,0,0.4879002113571898
23,96.9,0,0.5566206129936749
71,24.75,0,0.4775383897454676
70,24.7,0,0.42408694202187136
14,69.2,0,0.0632332941838102
15,75.1,0,0.18659442181675964
61,61.45,0,0.9225179917512611
11,35.8,0,-0.5317558955186754
70,25.15,0,0.4614740156549366
71,24.45,0,0.42249563363838444
5,55.7,0,-0.7408373432606745
11,25.2,0,-0.6083558134688339
50,39.45,0,0.5371656959057893
2,54.35,0,-1.2340774167509194
55,85.1,0,1.057476717534014
58,99.15,0,1.1856136362835927
2,50.95,0,-1.2031675936227733
62,84.95,0,1.120140955872225
18,83.25,0,0.39582852978951
72,19.4,0,0.29173023548986815
8,85.65,0,-0.160564815581697
